,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
3579,Street of #bangalore #incredibleindia #indebo @indebo #idy2017 #Indiaofgaboji https://t.co/KiZGEcCy0L,FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",gabriele_sim,0,FALSE,FALSE,NA,NA
3580,"RT @MSGsFans: Dr. MSG's extraordinary coaching makes India's Name Shining in World Championships of Yoga! #InternationalYogaDay 
https://t.…",FALSE,0,NA,6/21/2017 12:21,FALSE,NA,8.80401E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",AnitaG29709710,94,TRUE,FALSE,NA,NA
3581,"RT @swamijaataveda: #IDY2017 celebrations in Warsaw #Poland on 25th June. Over 20,000 people joined the festival. #IDYwithArtofLiving https…",FALSE,0,NA,6/21/2017 12:18,FALSE,NA,8.804E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",saket_gupta,81,TRUE,FALSE,NA,NA
3582,"RT @ErPKP: You cannot always control what goes on outside. 
But you can always control what goes on inside.

 #InternationalYogaDay <ed><U+00A0><U+00BC><ed><U+00BC><U+009E> https…",FALSE,0,NA,6/21/2017 12:17,FALSE,NA,8.804E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",op_sandwa,173,TRUE,FALSE,NA,NA
3583,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:17,FALSE,NA,8.804E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Payal85585115,31884,TRUE,FALSE,NA,NA
3584,RT @IndiaInLebanon: Glimpses of #YogaDay2017 celebrations:Beirut(18/6); #INDBATT (21/6);Byblos(24/6)-more pics @PMOIndia  @MEAIndia @moayus…,FALSE,0,NA,6/21/2017 12:16,FALSE,NA,8.804E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SinghNaveenprat,3,TRUE,FALSE,NA,NA
3585,RT @IndiaInLebanon: Enthusiastic Public Celebrations of #YogaDay2017 :Beirut(18/6);Byblos(24/6) @PMOIndia @MEAIndia @moayush @PIB_India htt…,FALSE,0,NA,6/21/2017 12:16,FALSE,NA,8.804E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",SinghNaveenprat,3,TRUE,FALSE,NA,NA
3586,RT @flintobox: [#InternationalYogaDay] Doing meditation and yoga with your kids allows to develop a routine &amp; healthy body. https://t.co/2K…,FALSE,0,NA,6/21/2017 12:11,FALSE,NA,8.80398E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",shreenidhisp,1,TRUE,FALSE,NA,NA
3587,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 12:10,FALSE,NA,8.80398E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gaitary,31884,TRUE,FALSE,NA,NA
3588,"RT @IndianDiplomacy: Europe twists &amp; turns for #Yoga
Snippets of #IDY2017 from across the European continent https://t.co/QDMyQciVft",FALSE,0,NA,6/21/2017 12:00,FALSE,NA,8.80396E+17,NA,"<a href=""https://app.socialzen.net/"" rel=""nofollow"">social-getyogafied</a>",Getyogafied,21,TRUE,FALSE,NA,NA
3589,"RT @IndianDiplomacy: Europe twists &amp; turns for #Yoga
Snippets of #IDY2017 from across the European continent https://t.co/QDMyQciVft",FALSE,0,NA,6/21/2017 11:59,FALSE,NA,8.80395E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",VijayAngadi2020,21,TRUE,FALSE,NA,NA
3590,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:57,FALSE,NA,8.80395E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MrKumar1810,31884,TRUE,FALSE,NA,NA
3591,RT @MEAIndia: Highlights of active participation by Yoga enthusiasts in #IDY2017 in ASEAN countries https://t.co/M3reDsqVIP,FALSE,0,NA,6/21/2017 11:55,FALSE,NA,8.80394E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hcikingston,30,TRUE,FALSE,NA,NA
3592,RT @MEAIndia: Snippets of #IDY2017 celebrations in the Neighbourhood https://t.co/emv6frXCYW,FALSE,0,NA,6/21/2017 11:55,FALSE,NA,8.80394E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",hcikingston,36,TRUE,FALSE,NA,NA
3593,RT @Gurmeetramrahim: Four Generations of my family came together to celebrate #InternationalYogaDay. Huge applaud to PM @narendramodi Ji fo…,FALSE,0,NA,6/21/2017 11:52,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",gagans42426,31884,TRUE,FALSE,NA,NA
3594,Follow us today or tomorrow and you'll be eligable for a 10% discount on all my pregnancy yoga courses in Hackney #PregnantWoman #YogaDay,FALSE,1,NA,6/21/2017 11:52,FALSE,NA,8.80393E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",jessbirthclass,1,FALSE,FALSE,NA,NA
3595,RT @SpokespersonMoD: #IDY2017 onboard Indian Coast Guard Ship Sarathi at Sea. @PIB_India https://t.co/nKRV8AkRY2,FALSE,0,NA,6/21/2017 11:50,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RajBala90604519,789,TRUE,FALSE,NA,NA
3596,RT @SpokespersonMoD: #IDY2017 onboard @indiannavy aircraft carrier INS Vikramaditya. @PIB_India https://t.co/T6sqYkdae0,FALSE,0,NA,6/21/2017 11:50,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RajBala90604519,792,TRUE,FALSE,NA,NA
3597,RT @SpokespersonMoD: Video of yoga session on #IDY2017 onboard @indiannavy aircraft carrier INS Vikramaditya. @PIB_India https://t.co/8HrOJ…,FALSE,0,NA,6/21/2017 11:50,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RajBala90604519,711,TRUE,FALSE,NA,NA
3598,"RT @girirajsinghbjp: Early morning pics are coming from my ""Harit  khadi Kendra Adarsh Gram Khanwa "" on #InternationalYogaDay 
#Yoga https:…",FALSE,0,NA,6/21/2017 11:50,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RajBala90604519,457,TRUE,FALSE,NA,NA
3599,"RT @Ra_THORe: Celebrating #InternationalYogaDay in Alwar district. #ModiEffect: every village, every country doing #Yoga today. #IYD2017 ht…",FALSE,0,NA,6/21/2017 11:50,FALSE,NA,8.80393E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RajBala90604519,574,TRUE,FALSE,NA,NA
3600,RT @IndiainToronto: Thousands participated in morning session of #IDY2017 celebration at #Toronto with @yogrishiramdev imparting Yoga knowl…,FALSE,0,NA,6/21/2017 11:49,FALSE,NA,8.80393E+17,NA,"<a href=""http://www.socioadvocacy.com"" rel=""nofollow"">SocioAdvocacy</a>",3208sunil,61,TRUE,FALSE,NA,NA
